Id,Attrition
1,6.95E-02
2,6.25E-02
3,6.59E-01
4,3.10E-01
5,1.96E-02
6,6.38E-02
7,3.29E-01
8,8.11E-01
9,6.65E-01
10,6.23E-02
11,1.11E-02
12,3.12E-01
13,8.74E-02
14,1.38E-01
15,2.20E-02
16,2.24E-01
17,8.67E-01
18,5.10E-01
19,2.19E-02
20,1.19E-02
21,2.83E-02
22,9.60E-01
23,1.87E-01
24,5.50E-02
25,2.57E-01
26,9.82E-02
27,8.68E-02
28,2.62E-02
29,8.04E-01
30,4.45E-01
31,4.54E-02
32,1.71E-01
33,4.90E-01
34,7.66E-01
35,1.81E-02
36,8.75E-02
37,3.34E-03
38,2.86E-02
39,4.73E-01
40,6.14E-01
41,9.65E-01
42,6.60E-01
43,1.49E-03
44,1.33E-02
45,6.99E-03
46,1.47E-01
47,2.84E-01
48,4.12E-02
49,3.57E-03
50,6.87E-01
51,4.03E-01
52,2.13E-01
53,7.01E-01
54,4.64E-01
55,4.19E-01
56,5.20E-01
57,2.48E-01
58,9.24E-01
59,2.02E-02
60,6.97E-02
61,3.14E-02
62,1.45E-01
63,8.27E-01
64,1.79E-01
65,6.87E-02
66,8.66E-03
67,5.71E-02
68,1.81E-01
69,4.24E-01
70,2.45E-01
71,3.16E-01
72,1.64E-01
73,5.45E-01
74,1.23E-01
75,5.49E-01
76,9.33E-01
77,6.64E-02
78,2.86E-01
79,1.40E-01
80,1.52E-01
81,4.13E-02
82,5.17E-01
83,3.09E-01
84,6.95E-05
85,2.74E-01
86,7.61E-04
87,2.49E-01
88,4.01E-01
89,4.52E-01
90,5.24E-02
91,8.39E-01
92,3.30E-03
93,2.23E-01
94,1.72E-01
95,8.21E-01
96,8.72E-01
97,3.89E-01
98,1.92E-01
99,4.34E-02
100,2.96E-01
101,3.32E-01
102,1.12E-02
103,1.38E-01
104,2.17E-01
105,3.03E-01
106,3.04E-01
107,4.22E-01
108,2.66E-01
109,6.26E-02
110,1.17E-04
111,2.14E-01
112,1.60E-01
113,3.04E-01
114,3.66E-02
115,5.89E-02
116,2.99E-03
117,4.92E-02
118,2.32E-02
119,2.49E-01
120,6.31E-02
121,5.72E-01
122,5.60E-02
123,7.00E-01
124,8.73E-01
125,9.02E-01
126,2.70E-02
127,2.39E-01
128,9.09E-01
129,8.02E-01
130,1.11E-01
131,3.16E-01
132,1.65E-02
133,4.81E-02
134,6.46E-01
135,1.20E-02
136,1.12E-01
137,9.84E-01
138,9.23E-02
139,7.77E-01
140,2.06E-02
141,1.78E-01
142,7.54E-03
143,2.60E-01
144,2.61E-02
145,1.64E-01
146,7.26E-01
147,3.76E-01
148,7.48E-01
149,1.90E-01
150,9.00E-01
151,8.03E-01
152,8.39E-01
153,4.81E-02
154,8.70E-01
155,1.25E-02
156,1.46E-01
157,2.74E-02
158,3.29E-01
159,1.38E-01
160,2.86E-02
161,8.08E-01
162,2.90E-01
163,2.26E-02
164,1.31E-02
165,1.61E-01
166,5.13E-01
167,3.20E-01
168,6.98E-01
169,9.28E-03
170,3.10E-02
171,1.33E-01
172,1.36E-02
173,3.12E-01
174,6.94E-01
175,5.15E-02
176,3.02E-01
177,1.68E-01
178,5.36E-01
179,7.69E-02
180,5.16E-01
181,1.39E-01
182,7.82E-02
183,9.48E-01
184,4.09E-02
185,9.29E-01
186,1.60E-02
187,5.66E-02
188,1.16E-01
189,9.92E-04
190,3.41E-02
191,3.73E-01
192,1.24E-01
193,1.75E-03
194,3.68E-01
195,9.21E-01
196,7.10E-01
197,4.03E-01
198,3.98E-01
199,6.50E-02
200,3.55E-01
201,2.47E-01
202,6.70E-01
203,9.76E-01
204,7.12E-02
205,5.05E-01
206,1.27E-01
207,9.46E-01
208,8.61E-02
209,3.04E-01
210,8.57E-01
211,8.62E-01
212,3.08E-01
213,2.50E-01
214,2.29E-01
215,8.95E-01
216,6.30E-01
217,8.73E-01
218,1.06E-01
219,1.18E-01
220,4.03E-02
221,4.26E-01
222,3.34E-01
223,6.28E-01
224,3.83E-01
225,8.38E-01
226,8.14E-02
227,8.24E-01
228,1.03E-02
229,5.34E-01
230,6.54E-03
231,7.43E-01
232,1.51E-01
233,6.08E-01
234,2.65E-01
235,2.18E-02
236,2.78E-01
237,1.51E-01
238,1.06E-02
239,8.63E-01
240,2.50E-01
241,3.09E-01
242,5.24E-02
243,6.52E-01
244,6.36E-01
245,1.96E-02
246,5.14E-04
247,9.27E-01
248,2.63E-01
249,7.89E-05
250,1.50E-02
251,3.62E-02
252,3.10E-02
253,1.34E-01
254,1.07E-01
255,1.00E-01
256,9.86E-01
257,2.91E-02
258,2.28E-01
259,1.85E-01
260,5.00E-02
261,9.17E-02
262,2.83E-01
263,8.34E-01
264,7.98E-01
265,6.55E-01
266,7.89E-01
267,3.87E-02
268,1.66E-01
269,7.92E-01
270,4.27E-02
271,1.70E-01
272,8.78E-01
273,9.85E-01
274,3.64E-01
275,8.96E-01
276,3.55E-01
277,2.47E-01
278,2.10E-01
279,1.23E-01
280,7.60E-01
281,2.56E-02
282,3.62E-01
283,1.92E-01
284,4.55E-02
285,7.03E-01
286,9.28E-01
287,2.13E-01
288,6.57E-01
289,4.80E-02
290,1.29E-01
291,9.13E-01
292,3.44E-01
293,2.65E-01
294,2.65E-01
295,3.11E-02
296,8.14E-02
297,1.61E-01
298,1.29E-02
299,7.01E-01
300,8.39E-02
301,1.20E-01
302,2.32E-01
303,1.74E-01
304,9.45E-01
305,4.77E-02
306,1.45E-02
307,4.31E-01
308,7.50E-01
309,9.87E-03
310,5.76E-02
311,3.58E-01
312,7.39E-01
313,3.97E-01
314,3.79E-01
315,5.36E-01
316,8.31E-01
317,5.30E-01
318,4.23E-01
319,8.18E-02
320,2.69E-01
321,1.00E-01
322,3.55E-01
323,2.01E-02
324,1.04E-01
325,7.79E-01
326,5.28E-01
327,8.52E-01
328,9.57E-01
329,7.64E-01
330,6.40E-02
331,9.34E-02
332,7.29E-01
333,1.37E-01
334,3.03E-01
335,3.63E-01
336,4.39E-03
337,1.44E-01
338,1.00E-01
339,5.33E-01
340,8.81E-01
341,6.88E-01
342,7.83E-01
343,5.91E-04
344,8.53E-01
345,5.14E-01
346,1.59E-01
347,4.06E-01
348,3.04E-01
349,6.00E-02
350,4.48E-01
351,3.15E-02
352,6.60E-02
353,8.56E-01
354,1.62E-01
355,7.92E-02
356,9.08E-01
357,8.87E-01
358,3.25E-02
359,1.77E-01
360,2.95E-01
361,4.37E-01
362,2.30E-02
363,1.99E-03
364,2.34E-01
365,8.98E-01
366,1.56E-01
367,3.75E-01
368,4.90E-01
369,6.99E-02
370,4.21E-01
371,2.75E-01
372,2.91E-02
373,3.11E-02
374,7.20E-01
375,9.08E-01
376,8.31E-02
377,7.72E-01
378,8.09E-01
379,7.50E-01
380,4.26E-02
381,9.14E-01
382,1.91E-01
383,3.79E-01
384,7.38E-02
385,9.16E-01
386,8.29E-01
387,6.64E-01
388,8.74E-01
389,5.90E-01
390,4.46E-01
391,9.94E-02
392,3.57E-02
393,5.32E-01
394,1.97E-01
395,4.27E-02
396,5.00E-01
397,8.80E-01
398,8.55E-05
399,1.23E-01
400,4.23E-01
401,2.87E-01
402,3.07E-02
403,6.86E-01
404,3.77E-01
405,3.98E-01
406,1.40E-03
407,3.29E-02
408,7.86E-01
409,2.24E-01
410,3.66E-01
411,5.38E-01
412,5.27E-02
413,4.93E-01
414,4.39E-02
415,4.47E-01
416,1.41E-03
417,8.99E-01
418,5.04E-01
419,4.50E-03
420,9.56E-02
421,7.46E-01
422,7.55E-01
423,5.18E-02
424,3.69E-01
425,4.94E-01
426,4.36E-04
427,4.02E-01
428,4.26E-01
429,1.92E-01
430,4.55E-01
431,4.49E-02
432,1.23E-01
433,1.51E-01
434,1.11E-02
435,7.09E-03
436,5.80E-04
437,2.83E-01
438,1.64E-02
439,1.54E-02
440,1.13E-01
441,7.73E-01
442,2.64E-01
443,2.28E-01
444,1.60E-02
445,7.34E-01
446,2.74E-02
447,2.17E-02
448,5.05E-01
449,2.57E-01
450,5.22E-01
451,1.61E-01
452,1.40E-01
453,9.23E-01
454,7.59E-01
455,4.15E-01
456,7.00E-03
457,8.96E-01
458,5.50E-01
459,8.41E-01
460,6.66E-02
461,9.33E-04
462,3.43E-03
463,8.85E-01
464,5.72E-01
465,6.46E-01
466,4.48E-01
467,9.57E-01
468,2.04E-01
469,3.76E-01
470,4.59E-02
