Id,Attrition
1,3.65E-01
2,2.37E-01
3,3.73E-01
4,3.80E-01
5,2.79E-01
6,2.94E-01
7,6.09E-01
8,3.26E-01
9,3.94E-01
10,2.63E-01
11,2.10E-01
12,6.92E-01
13,4.40E-01
14,1.76E-01
15,2.09E-01
16,5.80E-01
17,4.68E-01
18,5.50E-01
19,2.87E-01
20,1.73E-01
21,2.37E-01
22,6.18E-01
23,2.67E-01
24,2.46E-01
25,3.83E-01
26,1.44E-01
27,2.15E-01
28,2.37E-01
29,7.69E-01
30,1.96E-01
31,2.84E-01
32,3.42E-01
33,6.34E-01
34,4.88E-01
35,2.32E-01
36,2.57E-01
37,3.15E-01
38,3.02E-01
39,4.15E-01
40,4.83E-01
41,8.10E-01
42,4.46E-01
43,2.21E-01
44,2.39E-01
45,1.85E-01
46,4.11E-01
47,5.45E-01
48,4.60E-01
49,1.69E-01
50,3.71E-01
51,4.58E-01
52,3.33E-01
53,3.97E-01
54,6.75E-01
55,3.41E-01
56,6.26E-01
57,2.84E-01
58,7.14E-01
59,1.74E-01
60,2.03E-01
61,3.46E-01
62,2.45E-01
63,6.01E-01
64,1.24E-01
65,4.20E-01
66,3.37E-01
67,1.73E-01
68,2.07E-01
69,4.20E-01
70,3.32E-01
71,3.61E-01
72,2.95E-01
73,5.81E-01
74,4.76E-01
75,5.74E-01
76,7.14E-01
77,2.41E-01
78,2.84E-01
79,2.27E-01
80,6.43E-01
81,2.20E-01
82,4.46E-01
83,5.12E-01
84,1.83E-01
85,3.18E-01
86,4.29E-01
87,5.02E-01
88,2.52E-01
89,4.94E-01
90,3.74E-01
91,5.34E-01
92,3.05E-01
93,2.59E-01
94,4.46E-01
95,7.87E-01
96,5.72E-01
97,6.97E-01
98,2.29E-01
99,2.62E-01
100,1.79E-01
101,2.12E-01
102,2.05E-01
103,3.59E-01
104,5.06E-01
105,2.77E-01
106,3.87E-01
107,3.25E-01
108,2.48E-01
109,2.60E-01
110,2.51E-01
111,5.06E-01
112,5.35E-01
113,2.13E-01
114,1.92E-01
115,4.49E-01
116,2.15E-01
117,3.57E-01
118,1.90E-01
119,3.49E-01
120,4.16E-01
121,6.09E-01
122,3.01E-01
123,1.37E-01
124,5.85E-01
125,4.73E-01
126,2.11E-01
127,3.82E-01
128,4.09E-01
129,4.76E-01
130,2.59E-01
131,5.22E-01
132,1.88E-01
133,2.73E-01
134,4.70E-01
135,2.39E-01
136,3.36E-01
137,8.05E-01
138,2.13E-01
139,7.33E-01
140,1.45E-01
141,4.87E-01
142,4.67E-01
143,2.11E-01
144,2.12E-01
145,3.70E-01
146,4.59E-01
147,3.11E-01
148,6.85E-01
149,2.80E-01
150,4.64E-01
151,4.04E-01
152,6.42E-01
153,2.40E-01
154,7.68E-01
155,4.08E-01
156,3.37E-01
157,3.07E-01
158,2.57E-01
159,3.37E-01
160,1.85E-01
161,5.87E-01
162,4.12E-01
163,1.78E-01
164,2.18E-01
165,2.46E-01
166,6.54E-01
167,3.69E-01
168,4.00E-01
169,1.29E-01
170,2.07E-01
171,2.42E-01
172,2.90E-01
173,3.96E-01
174,4.06E-01
175,2.13E-01
176,4.53E-01
177,1.77E-01
178,2.70E-01
179,2.17E-01
180,6.69E-01
181,5.66E-01
182,5.02E-01
183,6.34E-01
184,6.00E-01
185,7.81E-01
186,4.16E-01
187,1.87E-01
188,3.02E-01
189,2.31E-01
190,3.64E-01
191,5.59E-01
192,3.27E-01
193,3.62E-01
194,6.09E-01
195,7.55E-01
196,6.43E-01
197,6.03E-01
198,4.10E-01
199,2.81E-01
200,3.87E-01
201,4.99E-01
202,6.22E-01
203,6.13E-01
204,5.90E-01
205,5.75E-01
206,2.55E-01
207,5.90E-01
208,4.21E-01
209,3.87E-01
210,5.13E-01
211,5.66E-01
212,2.48E-01
213,3.83E-01
214,4.47E-01
215,6.95E-01
216,7.55E-01
217,6.59E-01
218,3.15E-01
219,4.60E-01
220,3.12E-01
221,3.80E-01
222,3.02E-01
223,3.03E-01
224,4.70E-01
225,4.20E-01
226,2.65E-01
227,6.13E-01
228,3.06E-01
229,1.50E-01
230,2.90E-01
231,7.12E-01
232,3.36E-01
233,4.42E-01
234,4.34E-01
235,2.39E-01
236,2.57E-01
237,3.68E-01
238,2.59E-01
239,7.82E-01
240,1.76E-01
241,2.13E-01
242,2.90E-01
243,6.10E-01
244,6.53E-01
245,2.22E-01
246,2.02E-01
247,7.76E-01
248,2.59E-01
249,1.64E-01
250,2.23E-01
251,3.91E-01
252,2.02E-01
253,2.27E-01
254,4.00E-01
255,3.22E-01
256,7.68E-01
257,2.05E-01
258,3.12E-01
259,2.39E-01
260,6.19E-01
261,2.11E-01
262,3.08E-01
263,5.08E-01
264,5.24E-01
265,5.27E-01
266,5.81E-01
267,3.00E-01
268,2.71E-01
269,7.25E-01
270,1.98E-01
271,2.77E-01
272,4.45E-01
