Id,Attrition
1,8.56E-02
2,7.55E-02
3,6.53E-01
4,3.49E-01
5,2.88E-02
6,8.92E-02
7,3.32E-01
8,7.23E-01
9,6.74E-01
10,6.74E-02
11,2.48E-02
12,3.47E-01
13,9.23E-02
14,1.57E-01
15,3.80E-02
16,2.64E-01
17,8.08E-01
18,5.31E-01
19,3.13E-02
20,1.53E-02
21,3.50E-02
22,9.59E-01
23,2.07E-01
24,6.48E-02
25,3.34E-01
26,8.63E-02
27,1.11E-01
28,3.94E-02
29,8.02E-01
30,4.70E-01
31,6.48E-02
32,2.32E-01
33,5.06E-01
34,7.73E-01
35,3.66E-02
36,5.43E-02
37,2.28E-02
38,4.51E-02
39,4.89E-01
40,6.98E-01
41,9.62E-01
42,6.62E-01
43,1.07E-02
44,2.04E-02
45,1.50E-02
46,1.93E-01
47,3.38E-01
48,5.48E-02
49,2.75E-03
50,6.40E-01
51,4.22E-01
52,2.16E-01
53,7.08E-01
54,4.75E-01
55,5.27E-01
56,5.71E-01
57,2.33E-01
58,9.22E-01
59,2.40E-02
60,7.38E-02
61,4.93E-02
62,1.59E-01
63,8.18E-01
64,1.13E-01
65,1.09E-01
66,4.80E-02
67,9.13E-02
68,2.51E-01
69,4.45E-01
70,2.71E-01
71,3.27E-01
72,1.64E-01
73,5.68E-01
74,1.96E-01
75,5.87E-01
76,9.35E-01
77,7.97E-02
78,3.20E-01
79,2.00E-01
80,1.92E-01
81,5.53E-02
82,5.34E-01
83,3.27E-01
84,5.43E-04
85,2.91E-01
86,6.65E-03
87,3.22E-01
88,4.61E-01
89,4.14E-01
90,7.37E-02
91,8.14E-01
92,2.53E-02
93,2.40E-01
94,1.71E-01
95,8.21E-01
96,8.74E-01
97,4.04E-01
98,2.42E-01
99,4.22E-02
100,2.10E-01
101,3.47E-01
102,2.14E-02
103,1.70E-01
104,1.98E-01
105,3.14E-01
106,3.03E-01
107,3.76E-01
108,2.95E-01
109,6.89E-02
110,1.09E-03
111,2.41E-01
112,2.43E-01
113,3.16E-01
114,3.40E-02
115,2.49E-01
116,1.96E-02
117,5.91E-02
118,2.72E-02
119,2.73E-01
120,7.71E-02
121,5.78E-01
122,7.52E-02
123,6.69E-01
124,8.59E-01
125,8.99E-01
126,4.30E-02
127,2.57E-01
128,9.07E-01
129,7.96E-01
130,1.25E-01
131,3.93E-01
